size,price,date
W240,102000,2026-01-20
W240,102000,2026-01-20
W235,105000,2026-01-20
W225,112000,2026-01-20
W235,105000,2026-01-20
W230,114000,2026-01-20
W230,108000,2026-01-20
W245,105000,2026-01-20
W240,102000,2026-01-20
W255,109000,2026-01-20
W230,109000,2026-01-20
W250,102000,2026-01-20
W240,102000,2026-01-20
W235,105000,2026-01-20
W225,112000,2026-01-20
W230,120000,2026-01-20
W245,105000,2026-01-20
W260,137000,2026-01-20
W250,103000,2026-01-20
W235,105000,2026-01-20
W245,112000,2026-01-20
W245,105000,2026-01-20
W235,105000,2026-01-20
W245,105000,2026-01-20
W250,104000,2026-01-21
W235,105000,2026-01-21
W230,118000,2026-01-21
W230,117000,2026-01-21
W230,121000,2026-01-21
W220,120000,2026-01-21
W250,104000,2026-01-21
W240,102000,2026-01-21
W240,102000,2026-01-21
W250,104000,2026-01-21
W260,136000,2026-01-21
W240,102000,2026-01-21
W235,105000,2026-01-21
W220,120000,2026-01-21
W245,104000,2026-01-21
W225,112000,2026-01-21
W240,102000,2026-01-21
W240,102000,2026-01-21
W250,105000,2026-01-21
W270,159000,2026-01-21
W240,102000,2026-01-21
W230,120000,2026-01-21
W240,101000,2026-01-21
W245,105000,2026-01-21
W245,103000,2026-01-21
W240,102000,2026-01-21
W250,105000,2026-01-21
W235,105000,2026-01-21
W225,112000,2026-01-21
W255,110000,2026-01-21
W245,103000,2026-01-21
W245,104000,2026-01-21
W235,104000,2026-01-21
W240,102000,2026-01-21
W240,102000,2026-01-21
W245,103000,2026-01-21
W250,105000,2026-01-21
W255,99000,2026-01-21
W255,110000,2026-01-21
W230,117000,2026-01-21
W230,118000,2026-01-21
W230,120000,2026-01-21
W235,105000,2026-01-21
W235,105000,2026-01-21
W240,102000,2026-01-21
W250,104000,2026-01-21
W245,103000,2026-01-21
W250,104000,2026-01-21
W240,102000,2026-01-21
W230,120000,2026-01-21
W245,103000,2026-01-21
W225,112000,2026-01-21
W250,104000,2026-01-21
W225,112000,2026-01-21
W240,101000,2026-01-21
W240,102000,2026-01-22
W240,102000,2026-01-22
W220,125000,2026-01-22
W245,104000,2026-01-22
W240,102000,2026-01-22
W240,102000,2026-01-22
W240,101000,2026-01-22
W250,105000,2026-01-22
W235,104000,2026-01-22
W240,101000,2026-01-22
W225,113000,2026-01-22
W235,104000,2026-01-22
W250,106000,2026-01-22
W240,102000,2026-01-22
W240,101000,2026-01-22
W240,102000,2026-01-22
W235,102000,2026-01-22
W235,101000,2026-01-22
W235,102000,2026-01-22
W225,112000,2026-01-22
W225,112000,2026-01-22
W235,104000,2026-01-22
W250,104000,2026-01-22
W250,106000,2026-01-22
W240,102000,2026-01-22
W245,104000,2026-01-22
W240,101000,2026-01-22
W235,103000,2026-01-22
W220,122000,2026-01-22
W235,104000,2026-01-22
W220,124000,2026-01-22
W235,103000,2026-01-22
W240,101000,2026-01-22
W235,102000,2026-01-22
W240,101000,2026-01-22
W240,102000,2026-01-22
W240,101000,2026-01-22
W245,104000,2026-01-22
W255,113000,2026-01-23
W255,113000,2026-01-23
W225,115000,2026-01-23
W235,104000,2026-01-23
W245,104000,2026-01-23
W235,104000,2026-01-23
W240,103000,2026-01-23
W230,119000,2026-01-23
W235,104000,2026-01-23
W230,119000,2026-01-23
W240,104000,2026-01-23
W240,103000,2026-01-23
W245,104000,2026-01-23
W240,103000,2026-01-23
W220,126000,2026-01-23
W245,104000,2026-01-23
W235,104000,2026-01-23
W240,105000,2026-01-23
W240,104000,2026-01-23
W225,116000,2026-01-23
W240,103000,2026-01-23
W245,104000,2026-01-23
W225,112000,2026-01-23
W250,105000,2026-01-23
W235,104000,2026-01-23
W225,112000,2026-01-23
W240,102000,2026-01-23
W235,104000,2026-01-23
W240,103000,2026-01-23
W245,104000,2026-01-23
W235,104000,2026-01-23
W245,104000,2026-01-23
W240,102000,2026-01-23
W230,119000,2026-01-23
W245,104000,2026-01-23
W250,105000,2026-01-23
W240,100000,2026-01-23
W250,105000,2026-01-23
W235,105000,2026-01-23
W225,115000,2026-01-23
W240,100000,2026-01-23
W250,105000,2026-01-23
W260,126000,2026-01-23
W225,115000,2026-01-23
W245,104000,2026-01-24
W235,96000,2026-01-24
W235,105000,2026-01-24
W235,105000,2026-01-24
W250,105000,2026-01-24
W245,104000,2026-01-24
