size,price,date
270,130000,2026-02-10
300,179000,2026-02-10
270,130000,2026-02-10
265,131000,2026-02-10
285,157000,2026-02-10
275,131000,2026-02-10
265,131000,2026-02-10
280,145000,2026-02-10
255,130000,2026-02-10
275,131000,2026-02-10
265,131000,2026-02-10
265,129000,2026-02-10
270,130000,2026-02-10
280,144000,2026-02-10
260,127000,2026-02-10
280,144000,2026-02-10
280,143000,2026-02-10
260,127000,2026-02-10
275,130000,2026-02-10
265,130000,2026-02-10
275,130000,2026-02-10
275,130000,2026-02-10
275,131000,2026-02-10
270,129000,2026-02-10
270,129000,2026-02-10
270,129000,2026-02-10
265,131000,2026-02-10
275,131000,2026-02-10
260,127000,2026-02-10
260,127000,2026-02-10
270,129000,2026-02-10
275,132000,2026-02-10
280,144000,2026-02-10
265,128000,2026-02-10
265,131000,2026-02-10
290,149000,2026-02-10
270,128000,2026-02-10
290,156000,2026-02-10
265,131000,2026-02-10
275,131000,2026-02-10
260,126000,2026-02-10
265,131000,2026-02-10
270,130000,2026-02-10
270,129000,2026-02-10
275,132000,2026-02-10
265,130000,2026-02-10
235,173000,2026-02-10
260,125000,2026-02-10
280,145000,2026-02-10
270,128000,2026-02-10
260,126000,2026-02-10
255,129000,2026-02-10
270,128000,2026-02-10
270,128000,2026-02-10
290,149000,2026-02-10
265,129000,2026-02-10
270,128000,2026-02-10
280,144000,2026-02-10
250,125000,2026-02-10
245,175000,2026-02-10
265,124000,2026-02-10
255,129000,2026-02-10
270,128000,2026-02-10
270,127000,2026-02-10
280,145000,2026-02-10
265,129000,2026-02-10
265,124000,2026-02-10
265,129000,2026-02-10
270,126000,2026-02-10
270,128000,2026-02-10
260,125000,2026-02-10
260,124000,2026-02-10
280,144000,2026-02-10
250,129000,2026-02-10
280,144000,2026-02-10
265,129000,2026-02-10
270,128000,2026-02-10
255,125000,2026-02-10
265,124000,2026-02-10
270,129000,2026-02-10
280,135000,2026-02-10
260,126000,2026-02-10
265,130000,2026-02-10
270,128000,2026-02-10
275,130000,2026-02-10
270,128000,2026-02-10
245,174000,2026-02-10
275,130000,2026-02-10
270,128000,2026-02-10
265,130000,2026-02-10
275,130000,2026-02-10
270,128000,2026-02-10
260,126000,2026-02-10
270,128000,2026-02-10
275,130000,2026-02-10
255,124000,2026-02-10
270,129000,2026-02-10
275,130000,2026-02-10
295,188000,2026-02-10
285,164000,2026-02-10
310,179000,2026-02-10
265,130000,2026-02-10
265,130000,2026-02-10
275,130000,2026-02-10
280,144000,2026-02-10
270,129000,2026-02-10
270,129000,2026-02-10
265,129000,2026-02-10
270,126000,2026-02-10
260,125000,2026-02-10
270,129000,2026-02-10
270,129000,2026-02-10
270,129000,2026-02-10
255,129000,2026-02-10
255,130000,2026-02-10
240,157000,2026-02-10
280,145000,2026-02-10
290,158000,2026-02-10
270,129000,2026-02-10
265,130000,2026-02-10
260,125000,2026-02-10
260,125000,2026-02-10
275,130000,2026-02-10
285,157000,2026-02-10
275,130000,2026-02-10
260,123000,2026-02-10
275,130000,2026-02-10
260,125000,2026-02-10
275,131000,2026-02-10
265,130000,2026-02-10
290,150000,2026-02-10
275,131000,2026-02-10
260,126000,2026-02-10
265,130000,2026-02-10
270,129000,2026-02-10
275,132000,2026-02-10
270,128000,2026-02-10
260,125000,2026-02-10
260,125000,2026-02-10
290,158000,2026-02-10
270,129000,2026-02-10
250,131000,2026-02-10
255,129000,2026-02-10
230,158000,2026-02-10
270,129000,2026-02-10
255,130000,2026-02-10
265,129000,2026-02-10
280,144000,2026-02-10
265,129000,2026-02-10
265,130000,2026-02-10
265,130000,2026-02-10
270,129000,2026-02-10
260,125000,2026-02-10
255,130000,2026-02-10
280,144000,2026-02-10
270,128000,2026-02-10
270,128000,2026-02-10
270,128000,2026-02-10
270,129000,2026-02-10
270,128000,2026-02-10
280,145000,2026-02-10
275,130000,2026-02-10
255,130000,2026-02-10
225,158000,2026-02-10
265,130000,2026-02-10
250,130000,2026-02-10
250,129000,2026-02-10
270,129000,2026-02-10
265,130000,2026-02-10
270,129000,2026-02-10
250,131000,2026-02-11
270,130000,2026-02-11
275,130000,2026-02-11
270,130000,2026-02-11
265,128000,2026-02-11
285,152000,2026-02-11
270,130000,2026-02-11
275,130000,2026-02-11
270,129000,2026-02-11
270,130000,2026-02-11
260,125000,2026-02-11
285,150000,2026-02-11
260,126000,2026-02-11
265,129000,2026-02-11
265,130000,2026-02-11
265,128000,2026-02-11
260,125000,2026-02-11
260,126000,2026-02-11
265,130000,2026-02-11
270,130000,2026-02-11
265,126000,2026-02-11
270,129000,2026-02-11
270,129000,2026-02-11
260,125000,2026-02-11
265,126000,2026-02-11
270,130000,2026-02-11
280,145000,2026-02-11
265,128000,2026-02-11
265,127000,2026-02-11
265,125000,2026-02-11
265,128000,2026-02-11
265,129000,2026-02-11
270,129000,2026-02-11
270,130000,2026-02-11
280,145000,2026-02-11
250,131000,2026-02-11
255,133000,2026-02-11
270,130000,2026-02-11
265,129000,2026-02-11
275,130000,2026-02-11
260,126000,2026-02-11
280,142000,2026-02-11
260,126000,2026-02-11
245,198000,2026-02-11
255,133000,2026-02-11
265,121000,2026-02-11
270,131000,2026-02-11
260,126000,2026-02-11
255,134000,2026-02-11
275,130000,2026-02-11
270,132000,2026-02-11
265,130000,2026-02-11
270,132000,2026-02-11
260,125000,2026-02-11
260,121000,2026-02-11
260,126000,2026-02-11
255,135000,2026-02-11
270,124000,2026-02-11
270,131000,2026-02-11
280,141000,2026-02-11
270,131000,2026-02-11
275,130000,2026-02-11
275,131000,2026-02-11
270,131000,2026-02-11
265,130000,2026-02-11
270,131000,2026-02-11
260,126000,2026-02-11
275,130000,2026-02-11
275,130000,2026-02-11
275,130000,2026-02-11
250,131000,2026-02-11
250,131000,2026-02-11
270,131000,2026-02-11
255,133000,2026-02-11
250,121000,2026-02-11
260,125000,2026-02-11
260,126000,2026-02-11
265,128000,2026-02-11
265,128000,2026-02-11
260,125000,2026-02-11
260,126000,2026-02-11
270,130000,2026-02-11
260,125000,2026-02-11
265,130000,2026-02-11
270,130000,2026-02-11
250,131000,2026-02-11
260,125000,2026-02-11
270,129000,2026-02-11
240,152000,2026-02-11
270,129000,2026-02-11
270,130000,2026-02-11
280,145000,2026-02-11
275,130000,2026-02-11
235,173000,2026-02-11
270,130000,2026-02-11
265,130000,2026-02-11
265,130000,2026-02-11
260,124000,2026-02-11
270,130000,2026-02-11
270,130000,2026-02-11
270,129000,2026-02-11
270,130000,2026-02-11
265,130000,2026-02-11
270,130000,2026-02-11
270,130000,2026-02-11
265,131000,2026-02-11
275,131000,2026-02-11
280,146000,2026-02-11
270,130000,2026-02-11
260,126000,2026-02-11
255,139000,2026-02-11
270,130000,2026-02-11
260,127000,2026-02-11
270,130000,2026-02-11
260,127000,2026-02-11
280,140000,2026-02-11
280,145000,2026-02-11
275,131000,2026-02-11
270,130000,2026-02-11
270,130000,2026-02-11
290,153000,2026-02-11
275,131000,2026-02-11
250,131000,2026-02-11
270,130000,2026-02-11
270,130000,2026-02-11
255,136000,2026-02-11
270,130000,2026-02-11
275,131000,2026-02-11
275,132000,2026-02-11
270,130000,2026-02-11
275,131000,2026-02-11
250,132000,2026-02-11
270,129000,2026-02-11
270,129000,2026-02-11
270,130000,2026-02-11
270,129000,2026-02-11
265,126000,2026-02-11
260,125000,2026-02-11
270,130000,2026-02-11
265,126000,2026-02-11
270,130000,2026-02-11
260,126000,2026-02-11
265,128000,2026-02-11
245,179000,2026-02-11
230,165000,2026-02-11
260,124000,2026-02-11
250,131000,2026-02-11
260,125000,2026-02-11
275,131000,2026-02-11
265,128000,2026-02-11
260,125000,2026-02-11
275,131000,2026-02-11
265,128000,2026-02-11
265,129000,2026-02-11
265,129000,2026-02-11
260,126000,2026-02-11
290,159000,2026-02-11
265,128000,2026-02-11
270,130000,2026-02-11
270,130000,2026-02-11
265,128000,2026-02-11
270,129000,2026-02-11
270,130000,2026-02-11
265,129000,2026-02-11
265,130000,2026-02-11
270,131000,2026-02-11
265,130000,2026-02-11
270,130000,2026-02-11
275,132000,2026-02-11
260,127000,2026-02-11
275,132000,2026-02-11
260,127000,2026-02-11
270,131000,2026-02-11
265,129000,2026-02-11
270,131000,2026-02-11
255,133000,2026-02-11
250,131000,2026-02-11
260,128000,2026-02-11
255,133000,2026-02-11
270,131000,2026-02-11
280,144000,2026-02-11
270,131000,2026-02-11
260,128000,2026-02-11
245,162000,2026-02-11
275,133000,2026-02-11
280,145000,2026-02-11
255,135000,2026-02-11
250,132000,2026-02-11
270,130000,2026-02-11
275,133000,2026-02-11
270,131000,2026-02-11
250,132000,2026-02-11
260,126000,2026-02-11
270,131000,2026-02-11
290,159000,2026-02-11
270,131000,2026-02-11
255,127000,2026-02-11
285,147000,2026-02-11
270,130000,2026-02-11
250,131000,2026-02-11
275,130000,2026-02-11
265,130000,2026-02-11
270,131000,2026-02-11
270,131000,2026-02-11
265,130000,2026-02-11
270,131000,2026-02-11
260,125000,2026-02-11
275,130000,2026-02-11
