size,price,date
270,119000,2026-02-12
270,119000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
260,111000,2026-02-12
280,117000,2026-02-12
270,120000,2026-02-12
275,118000,2026-02-12
280,113000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
265,114000,2026-02-12
275,118000,2026-02-12
270,120000,2026-02-12
260,115000,2026-02-12
265,120000,2026-02-12
270,121000,2026-02-12
260,118000,2026-02-12
265,119000,2026-02-12
265,114000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
270,119000,2026-02-12
265,119000,2026-02-12
280,111000,2026-02-12
270,120000,2026-02-12
285,111000,2026-02-12
280,111000,2026-02-12
260,115000,2026-02-12
265,120000,2026-02-12
260,111000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
280,111000,2026-02-12
280,120000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
270,116000,2026-02-12
255,122000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
265,119000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,115000,2026-02-12
270,116000,2026-02-12
260,118000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
265,119000,2026-02-12
280,120000,2026-02-12
270,119000,2026-02-12
280,118000,2026-02-12
275,119000,2026-02-12
270,120000,2026-02-12
255,122000,2026-02-12
295,124000,2026-02-12
270,120000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
260,118000,2026-02-12
280,111000,2026-02-12
290,114000,2026-02-12
290,112000,2026-02-12
275,118000,2026-02-12
265,113000,2026-02-12
265,119000,2026-02-12
265,113000,2026-02-12
275,112000,2026-02-12
285,111000,2026-02-12
280,111000,2026-02-12
260,111000,2026-02-12
260,111000,2026-02-12
265,113000,2026-02-12
275,111000,2026-02-12
275,111000,2026-02-12
275,111000,2026-02-12
280,110000,2026-02-12
280,110000,2026-02-12
280,110000,2026-02-12
265,120000,2026-02-12
260,118000,2026-02-12
275,118000,2026-02-12
270,119000,2026-02-12
265,119000,2026-02-12
260,118000,2026-02-12
280,111000,2026-02-12
280,111000,2026-02-12
270,119000,2026-02-12
255,121000,2026-02-12
270,120000,2026-02-12
265,119000,2026-02-12
285,110000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
260,111000,2026-02-12
265,119000,2026-02-12
275,120000,2026-02-12
265,119000,2026-02-12
260,111000,2026-02-12
250,122000,2026-02-12
265,118000,2026-02-12
260,117000,2026-02-12
260,117000,2026-02-12
265,118000,2026-02-12
280,117000,2026-02-12
270,119000,2026-02-12
265,118000,2026-02-12
275,118000,2026-02-12
280,117000,2026-02-12
255,121000,2026-02-12
280,111000,2026-02-12
260,111000,2026-02-12
260,111000,2026-02-12
275,112000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
260,111000,2026-02-12
270,120000,2026-02-12
275,118000,2026-02-12
260,110000,2026-02-12
300,106000,2026-02-12
270,119000,2026-02-12
275,113000,2026-02-12
270,119000,2026-02-12
260,117000,2026-02-12
270,119000,2026-02-12
270,119000,2026-02-12
290,112000,2026-02-12
280,118000,2026-02-12
255,121000,2026-02-12
260,117000,2026-02-12
275,118000,2026-02-12
270,115000,2026-02-12
260,110000,2026-02-12
270,119000,2026-02-12
275,112000,2026-02-12
270,120000,2026-02-12
255,110000,2026-02-12
260,110000,2026-02-12
290,112000,2026-02-12
270,119000,2026-02-12
265,119000,2026-02-12
265,119000,2026-02-12
250,123000,2026-02-12
260,117000,2026-02-12
280,118000,2026-02-12
255,123000,2026-02-12
255,122000,2026-02-12
270,120000,2026-02-12
260,117000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
265,119000,2026-02-12
270,120000,2026-02-12
240,130000,2026-02-12
270,119000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
270,120000,2026-02-12
275,119000,2026-02-12
275,113000,2026-02-12
260,117000,2026-02-12
270,120000,2026-02-12
300,105000,2026-02-12
280,111000,2026-02-12
280,118000,2026-02-12
250,124000,2026-02-12
260,117000,2026-02-12
270,120000,2026-02-12
275,119000,2026-02-12
265,119000,2026-02-12
285,108000,2026-02-12
280,118000,2026-02-12
